,Date,Sentiment_score,No_of_likes,No_of_comments,Count_of_tweets
186,2024-01-04,0.06228521038044848,71,8,45
187,2024-01-05,0.09541619902731015,400,34,54
188,2024-01-06,0.10312283549783549,276,13,36
189,2024-01-07,0.11248655913978493,247,11,31
190,2024-01-08,0.1041042291042291,54,6,26
191,2024-01-09,0.1183986928104575,156,15,51
192,2024-01-10,0.0452345441017316,127,17,64
193,2024-01-11,0.07648654513888889,348,23,64
194,2024-01-12,0.07312110031514396,8894,669,823
195,2024-01-13,0.07540866430747382,270,40,63
196,2024-01-14,0.10879013866903997,2893,308,263
197,2024-01-15,0.08,32,1,2
198,2024-01-16,0.08041456686586801,1357,156,277
199,2024-01-17,0.06945075227740669,563,101,170
200,2024-01-19,0.07293668330126662,712,131,72
201,2024-01-20,0.11721913146462869,195,27,58
202,2024-01-21,0.15220433501683503,179,17,12
203,2024-01-22,0.130419586489899,31,10,20
204,2024-01-23,0.06029119425547997,65,18,35
205,2024-01-24,0.10777272727272727,55,3,9
206,2024-01-25,0.07914291217257319,2377,100,59
207,2024-01-26,0.12562500000000001,37,5,12
208,2024-01-27,0.09766941391941393,49,1,13
209,2024-01-28,0.2030357142857143,20,3,8
210,2024-01-29,0.10214912280701754,37,4,19
211,2024-01-30,0.11129399585921324,177,11,23
212,2024-01-31,0.03911808866239246,398,60,79
213,2024-02-01,0.05242587555087555,384,34,37
214,2024-02-02,0.0,2,0,1
215,2024-02-03,0.14641666666666667,5,4,10
216,2024-02-04,0.08502371651785716,73,13,24
217,2024-02-05,0.08499999999999999,15,5,21
218,2024-02-06,0.1258003482687027,268,32,79
219,2024-02-07,0.0,24,3,4
220,2024-02-08,0.05662740226944773,64,25,22
221,2024-02-09,0.09167195767195767,7,4,15
222,2024-02-10,0.2681818181818182,142,10,1
223,2024-02-11,0.015909090909090907,20,11,11
224,2024-02-12,0.06503060938179986,287,41,84
225,2024-02-13,0.10649793079038361,109,21,53
226,2024-02-14,0.0830696545657072,192,49,95
227,2024-02-15,0.15651382876382874,75,15,45
