Date,Sentiment_score,No_of_likes,No_of_comments,Count_of_tweets,Close,Volume,Target
2023-12-01,0.017243074686256507,331,49,88,2394.300048828125,7171421,2420.199951171875
2023-12-04,0.09870577834863549,214,12,91,2420.199951171875,7795495,2437.75
2023-12-05,0.08389123773052344,170,16,91,2437.75,6346812,2461.10009765625
2023-12-06,0.018039072490292005,1427,1090,164,2461.10009765625,8211221,2457.050048828125
2023-12-07,0.03380471380471381,168,36,111,2457.050048828125,4071048,2455.75
2023-12-08,0.05263762242485647,502,85,47,2455.75,5102447,2459.35009765625
2023-12-11,0.04883019758019758,418,125,65,2459.35009765625,3533069,2424.050048828125
2023-12-12,0.09138258409424377,333,64,119,2424.050048828125,4598562,2433.949951171875
2023-12-13,0.10748257041312596,428,16,81,2433.949951171875,5015591,2464.14990234375
2023-12-14,0.08833070286195285,266,19,36,2464.14990234375,8486177,2495.60009765625
2023-12-15,0.07698831874647091,853,77,92,2495.60009765625,7966076,2521.0
2023-12-18,0.06543645449201005,232,10,36,2521.0,7082594,2558.10009765625
2023-12-19,0.09537675321189815,1339,92,207,2558.10009765625,8410302,2527.14990234375
2023-12-20,0.07467166999254052,1077,89,208,2527.14990234375,8868361,2562.550048828125
2023-12-21,0.1061841206551733,637,57,95,2562.550048828125,6882727,2565.050048828125
2023-12-22,0.06596615111975282,417,28,59,2565.050048828125,8270892,2578.050048828125
2023-12-26,0.11001173205367837,728,77,149,2578.050048828125,3732832,2586.85009765625
2023-12-27,0.11465809106155088,951,88,112,2586.85009765625,4602078,2605.550048828125
2023-12-28,0.4,3,0,1,2605.550048828125,6151318,2584.949951171875
2023-12-29,0.123230148119854,1195,46,119,2584.949951171875,5432292,2590.25
2024-01-01,0.0964573947709541,89,20,59,2590.25,2015270,2611.699951171875
2024-01-02,0.035536354544082126,434,43,92,2611.699951171875,3724400,2583.300048828125
2024-01-03,0.05882883831998876,315,39,113,2583.300048828125,4518768,2596.64990234375
2024-01-04,0.056065910758761786,323,41,146,2596.64990234375,4806389,2607.699951171875
2024-01-05,0.06694372366812125,319,31,83,2607.699951171875,4043203,2587.35009765625
2024-01-08,0.03216476409545716,245,33,101,2587.35009765625,3867326,2580.5
2024-01-09,0.03839988831942855,203,24,87,2580.5,2701537,2650.10009765625
2024-01-10,0.07101009193239585,16029,516,510,2650.10009765625,5551370,2719.800048828125
2024-01-11,0.06254432323253346,6503,830,572,2719.800048828125,11862926,2741.449951171875
2024-01-12,0.0865425803528482,1924,251,252,2741.449951171875,7506082,2788.25
2024-01-15,0.06546762310926632,2582,119,211,2788.25,4305297,2749.25
2024-01-16,0.022765221661054994,61,11,24,2749.25,4534512,2723.14990234375
2024-01-17,0.0,0,0,1,2723.14990234375,6098691,2734.89990234375
2024-01-19,0.0,2,0,1,2734.89990234375,5211352,2657.14990234375
2024-01-23,0.06435628447596534,186,21,94,2657.14990234375,10027710,2687.75
2024-01-24,0.11851915317193094,112,17,54,2687.75,10959564,2706.14990234375
2024-01-25,0.04234750098386462,226,16,44,2706.14990234375,5904436,2896.10009765625
2024-01-29,0.38349999999999995,84,4,4,2896.10009765625,11946719,2815.25
2024-01-30,-0.20152777777777775,11,1,8,2815.25,7046989,2853.25
2024-01-31,0.078684414989428,1072,74,192,2853.25,7565113,2853.300048828125
2024-02-01,0.08441104608697202,254,51,135,2853.300048828125,6674681,2915.39990234375
2024-02-02,0.049009446890334575,516,82,138,2915.39990234375,9826294,2878.050048828125
2024-02-05,0.08576550849069231,801,85,136,2878.050048828125,4407216,2855.60009765625
2024-02-06,0.28726851851851853,1059,74,6,2855.60009765625,4523992,2884.300048828125
2024-02-07,0.09499487967229901,114,26,31,2884.300048828125,4648284,2900.25
2024-02-08,0.10256302472779745,660,67,110,2900.25,7347317,2921.5
2024-02-09,0.08764691538624948,664,91,96,2921.5,6278399,2904.699951171875
2024-02-12,0.027547264309764317,520,55,100,2904.699951171875,3337215,2930.199951171875
2024-02-13,0.10059210526315789,873,26,19,2930.199951171875,3857797,2962.75
