Date,Sentiment_score,No_of_likes,No_of_comments,Count_of_tweets,Close,Volume
2024-01-24,0.10777272727272727,55,3,9,478.04998779296875,5854375
2024-01-25,0.07914291217257319,2377,100,59,470.0,6426490
2024-01-29,0.10214912280701754,37,4,19,473.0,5025650
2024-01-30,0.11129399585921324,177,11,23,472.5,5914007
2024-01-31,0.03911808866239246,398,60,79,478.1499938964844,5292240
2024-02-01,0.05242587555087555,384,34,37,471.3500061035156,3914060
2024-02-02,0.0,2,0,1,483.1499938964844,8148111
2024-02-05,0.08499999999999999,15,5,21,482.3500061035156,5783302
2024-02-06,0.1258003482687027,268,32,79,499.6499938964844,14512019
2024-02-07,0.0,24,3,4,495.20001220703125,4551767
2024-02-08,0.05662740226944773,64,25,22,488.8500061035156,5651920
2024-02-09,0.09167195767195767,7,4,15,490.45001220703125,3946894
2024-02-12,0.06503060938179986,287,41,84,501.45001220703125,24436750
2024-02-13,0.10649793079038361,109,21,53,511.6000061035156,11186788
2024-02-14,0.0830696545657072,192,49,95,514.5,11297328
